,pH,sulphates,alcohol,quality,pH_cat,alcohol_cat,alcohol_kmeans,sulphates_cat
517,3.16,0.63,8.4,3,"(3.038, 3.216]",,0.0,"(0.535, 0.638]"
518,3.22,0.68,11.7,6,"(3.216, 3.394]","(11.371, 12.114]",4.0,"(0.638, 0.74]"
519,3.36,0.78,11.0,5,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.74, 0.842]"
520,3.42,0.9,10.0,6,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.842, 0.945]"
521,3.48,0.64,9.1,5,"(3.394, 3.572]","(8.4, 9.143]",0.0,"(0.638, 0.74]"
522,3.38,0.99,9.8,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.945, 1.047]"
523,3.22,0.55,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
524,3.23,0.64,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
525,3.24,0.67,9.9,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
526,3.36,0.78,11.0,5,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.74, 0.842]"
527,3.39,0.77,11.4,6,"(3.216, 3.394]","(11.371, 12.114]",4.0,"(0.74, 0.842]"
528,3.34,0.75,8.7,6,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.74, 0.842]"
529,3.09,0.57,9.4,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
530,3.41,0.87,10.3,6,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.842, 0.945]"
531,3.16,0.61,10.3,5,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
532,3.16,0.61,10.3,5,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
533,3.22,0.66,12.8,6,"(3.216, 3.394]","(12.114, 12.857]",5.0,"(0.638, 0.74]"
534,3.28,0.56,10.0,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
535,3.41,0.87,10.3,6,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.842, 0.945]"
536,3.09,0.57,9.4,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
537,3.37,0.77,10.7,6,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.74, 0.842]"
538,3.2,0.66,12.0,7,"(3.038, 3.216]","(11.371, 12.114]",4.0,"(0.638, 0.74]"
539,3.22,0.62,11.2,5,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
540,3.26,0.67,9.6,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
541,3.21,0.73,11.0,6,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
542,3.12,0.59,9.9,5,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
543,3.06,0.72,11.0,6,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
544,2.86,0.79,8.4,6,,,0.0,"(0.74, 0.842]"
545,3.08,0.59,9.1,5,"(3.038, 3.216]","(8.4, 9.143]",0.0,"(0.535, 0.638]"
546,3.45,0.78,9.5,6,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
547,3.26,0.86,10.7,6,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.842, 0.945]"
548,3.12,0.75,10.4,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
549,3.27,0.61,9.4,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
550,3.33,0.56,9.5,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
551,3.19,0.73,10.0,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
552,3.12,0.74,10.0,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
553,3.74,0.62,11.5,5,"(3.572, 3.75]","(11.371, 12.114]",4.0,"(0.535, 0.638]"
554,2.92,0.74,11.1,5,"(2.86, 3.038]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
555,2.92,0.74,11.1,5,"(2.86, 3.038]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
556,3.07,0.56,11.7,6,"(3.038, 3.216]","(11.371, 12.114]",4.0,"(0.535, 0.638]"
557,2.92,0.74,11.1,5,"(2.86, 3.038]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
558,3.07,0.56,11.7,6,"(3.038, 3.216]","(11.371, 12.114]",4.0,"(0.535, 0.638]"
559,3.3,0.68,12.7,6,"(3.216, 3.394]","(12.114, 12.857]",5.0,"(0.638, 0.74]"
560,3.14,0.57,11.4,5,"(3.038, 3.216]","(11.371, 12.114]",4.0,"(0.535, 0.638]"
561,3.23,0.58,9.2,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
562,3.08,0.61,9.2,5,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
563,3.31,0.61,10.1,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
564,3.3,0.68,12.7,6,"(3.216, 3.394]","(12.114, 12.857]",5.0,"(0.638, 0.74]"
565,3.14,0.57,11.4,5,"(3.038, 3.216]","(11.371, 12.114]",4.0,"(0.535, 0.638]"
566,3.32,0.6,9.0,6,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.535, 0.638]"
567,3.32,0.6,9.0,6,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.535, 0.638]"
568,3.31,0.79,10.7,6,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.74, 0.842]"
569,3.57,0.57,11.7,6,"(3.394, 3.572]","(11.371, 12.114]",4.0,"(0.535, 0.638]"
570,3.32,0.91,11.0,6,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.842, 0.945]"
571,3.57,0.57,11.7,6,"(3.394, 3.572]","(11.371, 12.114]",4.0,"(0.535, 0.638]"
572,3.14,0.61,10.4,5,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
573,3.3,0.56,9.6,4,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
574,3.19,0.7,10.0,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
575,3.2,0.8,10.2,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
576,3.34,0.52,10.0,4,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
577,3.3,0.6,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
578,3.29,0.6,9.8,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
579,3.14,0.51,9.8,6,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
580,3.19,0.44,9.6,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
581,3.19,0.44,9.6,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
582,3.19,0.43,9.2,5,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.33, 0.432]"
583,2.98,0.66,9.9,7,"(2.86, 3.038]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
584,3.3,0.76,10.7,7,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.74, 0.842]"
585,3.47,0.66,9.6,6,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
586,3.12,1.02,10.6,7,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.945, 1.047]"
587,3.26,0.59,9.3,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
589,3.05,0.74,10.5,7,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
590,3.35,0.57,9.7,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
591,3.12,0.5,11.5,6,"(3.038, 3.216]","(11.371, 12.114]",4.0,"(0.432, 0.535]"
592,3.35,0.57,9.7,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
593,3.29,0.58,9.0,5,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.535, 0.638]"
594,3.4,0.53,9.5,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
595,3.27,0.57,9.3,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
596,3.04,0.6,9.3,6,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
597,3.09,0.63,10.0,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
598,3.2,0.48,9.8,6,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
599,3.0,0.7,9.3,6,"(2.86, 3.038]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
600,3.26,0.47,10.0,4,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
601,3.1,0.56,9.0,6,"(3.038, 3.216]","(8.4, 9.143]",0.0,"(0.535, 0.638]"
602,3.3,0.52,9.3,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.432, 0.535]"
603,3.1,0.56,9.0,6,"(3.038, 3.216]","(8.4, 9.143]",0.0,"(0.535, 0.638]"
604,3.17,0.62,9.1,6,"(3.038, 3.216]","(8.4, 9.143]",0.0,"(0.535, 0.638]"
605,3.31,0.59,9.2,6,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
606,3.34,0.79,12.2,7,"(3.216, 3.394]","(12.114, 12.857]",5.0,"(0.74, 0.842]"
607,3.31,0.53,10.5,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
608,3.32,0.64,10.4,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
609,3.56,0.52,12.7,6,"(3.394, 3.572]","(12.114, 12.857]",5.0,"(0.432, 0.535]"
610,3.39,0.54,9.2,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
611,2.98,0.54,9.4,5,"(2.86, 3.038]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
612,3.32,0.6,10.0,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
613,3.26,0.74,9.8,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
615,3.5,0.57,9.7,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
616,3.5,0.57,9.7,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
617,3.03,0.93,9.8,6,"(2.86, 3.038]","(9.143, 9.886]",1.0,"(0.842, 0.945]"
618,3.13,0.7,10.2,5,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
619,3.09,0.8,9.3,5,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.74, 0.842]"
620,3.27,0.61,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
621,3.28,0.62,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
622,3.13,0.55,9.5,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
623,3.49,0.96,12.1,6,"(3.394, 3.572]","(11.371, 12.114]",4.0,"(0.945, 1.047]"
624,3.46,0.72,10.2,5,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
625,3.46,0.72,10.2,5,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
626,3.36,0.49,9.1,5,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.432, 0.535]"
627,3.36,0.49,9.1,5,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.432, 0.535]"
628,3.27,0.6,9.3,6,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
629,3.21,0.61,9.3,5,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
630,3.27,0.6,9.3,6,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
631,3.25,0.63,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
632,3.32,0.57,10.5,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
633,3.43,0.64,11.3,4,"(3.394, 3.572]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
634,3.27,0.58,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
635,3.27,0.55,9.7,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
636,3.24,0.53,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
637,3.24,0.53,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
638,3.35,0.65,10.2,7,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
640,3.39,0.62,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
641,3.46,0.63,9.5,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
642,3.39,0.62,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
643,3.46,0.63,9.5,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
644,3.39,0.62,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
645,3.37,0.69,10.1,7,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
646,3.4,0.63,10.1,5,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
647,3.32,0.58,11.0,4,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
648,3.33,0.67,11.2,7,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
649,3.16,0.57,11.3,6,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
650,2.89,0.5,9.6,5,"(2.86, 3.038]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
651,3.41,0.67,11.2,5,"(3.394, 3.572]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
653,3.12,0.54,12.0,6,"(3.038, 3.216]","(11.371, 12.114]",4.0,"(0.535, 0.638]"
654,3.08,0.46,9.5,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
655,3.14,0.61,9.4,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
656,2.89,0.5,9.6,5,"(2.86, 3.038]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
657,2.92,0.68,10.5,7,"(2.86, 3.038]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
658,3.32,0.81,9.6,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
659,3.41,0.57,11.0,4,"(3.394, 3.572]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
660,3.32,0.81,9.6,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
661,3.31,0.64,9.0,5,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.638, 0.74]"
662,3.36,0.7,9.6,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
663,3.04,0.79,10.2,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
664,3.03,0.66,10.2,5,"(2.86, 3.038]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
665,3.14,0.56,9.7,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
666,3.18,0.6,9.5,6,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
667,2.94,0.66,9.2,6,"(2.86, 3.038]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
668,3.15,0.57,11.0,5,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
669,2.94,0.66,9.2,6,"(2.86, 3.038]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
670,3.26,0.58,10.0,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
671,3.2,0.52,9.5,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
672,3.15,0.53,9.5,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
673,3.2,0.52,9.5,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
674,3.08,0.67,9.3,6,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
675,3.26,0.65,10.2,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
676,3.08,0.67,9.3,6,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
677,3.4,0.48,9.9,5,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
678,3.48,0.53,10.0,5,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
679,3.13,0.54,9.6,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
680,3.06,0.49,9.0,5,"(3.038, 3.216]","(8.4, 9.143]",0.0,"(0.432, 0.535]"
681,3.21,0.49,10.2,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
682,3.33,0.54,9.8,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
683,3.37,0.56,11.3,5,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
684,3.25,0.48,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
685,3.37,0.56,11.3,5,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
686,3.44,0.6,9.1,5,"(3.394, 3.572]","(8.4, 9.143]",0.0,"(0.535, 0.638]"
687,3.28,0.59,9.7,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
688,3.4,0.47,9.4,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
689,3.3,1.05,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(1.047, 1.15]"
690,3.63,0.54,10.7,3,"(3.572, 3.75]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
691,3.48,0.54,9.8,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
693,3.32,0.62,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
694,3.31,0.61,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
696,3.47,0.67,9.5,6,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
697,3.47,0.67,9.5,6,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
698,3.31,0.53,9.7,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
699,3.11,0.62,10.8,6,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
700,3.08,0.57,10.1,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
701,3.47,0.67,9.5,6,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
702,3.47,0.67,9.4,6,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
703,3.32,0.7,9.6,4,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
704,3.29,0.54,9.7,4,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
705,3.37,0.49,9.9,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
706,3.4,0.47,10.0,5,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
707,3.37,0.51,10.5,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
708,3.34,0.61,11.6,6,"(3.216, 3.394]","(11.371, 12.114]",4.0,"(0.535, 0.638]"
709,3.27,0.66,10.0,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
710,3.06,0.57,10.1,5,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
711,3.38,0.61,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
712,3.36,0.45,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
713,3.34,0.46,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
714,3.28,0.51,9.8,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
715,3.29,0.48,9.2,6,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.432, 0.535]"
716,3.34,0.46,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
717,3.21,0.57,10.0,5,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
718,3.22,0.44,9.6,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
719,3.46,0.54,9.5,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
720,3.22,0.44,9.6,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
721,3.1,0.53,9.2,5,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.432, 0.535]"
722,3.21,0.59,10.0,5,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
724,3.54,0.6,11.2,4,"(3.394, 3.572]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
725,3.29,0.55,10.4,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
726,3.43,0.72,11.1,6,"(3.394, 3.572]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
727,3.46,0.68,9.5,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
728,3.46,0.68,9.5,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
729,3.61,0.49,12.7,6,"(3.572, 3.75]","(12.114, 12.857]",5.0,"(0.432, 0.535]"
730,3.17,0.67,9.6,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
731,3.44,0.52,11.5,5,"(3.394, 3.572]","(11.371, 12.114]",4.0,"(0.432, 0.535]"
732,3.39,0.47,9.6,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
733,3.55,0.6,9.5,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
734,3.48,0.62,9.3,5,"(3.394, 3.572]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
735,3.26,0.5,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
736,3.26,0.5,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
737,3.5,0.65,9.3,6,"(3.394, 3.572]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
738,3.1,0.56,9.2,5,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
739,3.35,0.6,9.3,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
740,3.45,0.68,11.5,6,"(3.394, 3.572]","(11.371, 12.114]",4.0,"(0.638, 0.74]"
741,3.21,0.57,9.5,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
742,3.46,0.65,9.2,5,"(3.394, 3.572]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
743,3.13,0.53,10.0,5,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
744,3.13,0.51,9.5,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
745,3.52,0.73,9.5,6,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
746,3.3,0.47,9.0,6,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.432, 0.535]"
747,3.3,0.48,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
748,3.52,0.72,9.6,6,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
749,3.52,0.73,9.5,6,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
750,3.29,0.55,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
751,3.29,0.55,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
752,3.39,0.61,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
753,3.29,0.55,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
754,3.09,1.06,9.1,6,"(3.038, 3.216]","(8.4, 9.143]",0.0,"(1.047, 1.15]"
755,3.51,0.43,10.7,6,"(3.394, 3.572]","(10.629, 11.371]",3.0,"(0.33, 0.432]"
756,3.6,0.46,11.2,6,"(3.572, 3.75]","(10.629, 11.371]",3.0,"(0.432, 0.535]"
757,3.25,0.5,9.8,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
758,3.25,0.5,9.8,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
759,3.19,0.52,9.2,5,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.432, 0.535]"
760,3.23,0.57,9.7,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
761,3.25,0.42,9.6,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.33, 0.432]"
762,3.31,0.53,10.0,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
763,3.25,0.42,9.6,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.33, 0.432]"
764,3.31,0.55,9.5,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
765,3.31,0.54,9.5,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
766,3.14,0.54,9.4,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
767,3.45,0.62,9.5,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
768,3.55,0.53,9.7,6,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
769,3.39,0.54,9.6,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
770,3.55,0.53,9.7,6,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
771,3.28,0.55,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
772,3.27,0.55,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
